Sample	LR999924.1	LR999925.1	LR999926.1	LR999927.1	LR999928.1	LR999929.1	LR999930.1	LR999931.1	LR999932.1	LR999933.1	LR999934.1	LR999935.1	LR999936.1	LR999937.1	LR999938.1	LR999939.1	LR999940.1	LR999941.1	LR999942.1	LR999943.1	LR999944.1	LR999945.1	LR999946.1	LR999947.1	LR999948.1	LR999949.1	LR999950.1	LR999951.1	LR999952.1	LR999953.1	LR999954.1	LR999955.1	*
LDAL_PF_H_4	[1885102, 17040296]	[3231911, 16607008]	[3671691, 16362069]	[2990985, 16090551]	[1550931, 16000791]	[1878170, 15952094]	[1869395, 15715213]	[3298121, 15572524]	[1998149, 15426761]	[2608621, 15296561]	[2739038, 14945938]	[1836946, 14868897]	[1677821, 14774369]	[1412153, 14615999]	[1328468, 14605406]	[1571826, 13916383]	[14457, 13819298]	[7920278, 13774036]	[1567744, 13550656]	[2987289, 13236624]	[889019, 12933853]	[1286047, 12861081]	[1081018, 12594674]	[464663, 11704087]	[704591, 11326783]	[1050507, 11199261]	[837425, 9960137]	[491211, 9839934]	[2501982, 8262369]	[802508, 8178468]	[946202, 7379297]	[523211, 6166334]	[0, 0]
LDAL_PM_A_1	[2748068, 17040296]	[5098417, 16607008]	[3283069, 16362069]	[3890180, 16090551]	[2687044, 16000791]	[3088871, 15952094]	[2454078, 15715213]	[3726548, 15572524]	[2303177, 15426761]	[2426775, 15296561]	[2272024, 14945938]	[3746512, 14868897]	[2605695, 14774369]	[1838698, 14615999]	[1795161, 14605406]	[1310229, 13916383]	[68696, 13819298]	[3663125, 13774036]	[7228556, 13550656]	[2686359, 13236624]	[1264935, 12933853]	[2261231, 12861081]	[1338697, 12594674]	[2065086, 11704087]	[805414, 11326783]	[1316145, 11199261]	[3083712, 9960137]	[609627, 9839934]	[1549731, 8262369]	[1633124, 8178468]	[809583, 7379297]	[765487, 6166334]	[0, 0]
LDAL_PM_A_18	[2310738, 17040296]	[7051384, 16607008]	[3655468, 16362069]	[4368239, 16090551]	[2358608, 16000791]	[2974545, 15952094]	[2127290, 15715213]	[3552459, 15572524]	[2155140, 15426761]	[1944882, 15296561]	[2218521, 14945938]	[3068632, 14868897]	[3353142, 14774369]	[1781166, 14615999]	[1734624, 14605406]	[1392765, 13916383]	[56171, 13819298]	[4656261, 13774036]	[5706623, 13550656]	[2583862, 13236624]	[1481998, 12933853]	[1901112, 12861081]	[1214871, 12594674]	[1694003, 11704087]	[847362, 11326783]	[1377309, 11199261]	[1928584, 9960137]	[615791, 9839934]	[2269299, 8262369]	[1501741, 8178468]	[848328, 7379297]	[780081, 6166334]	[0, 0]
LDAL_PM_A_3	[2827526, 17040296]	[6293933, 16607008]	[4027124, 16362069]	[4103441, 16090551]	[2818502, 16000791]	[3695771, 15952094]	[2723268, 15715213]	[4311833, 15572524]	[2580507, 15426761]	[2726380, 15296561]	[2354335, 14945938]	[3669833, 14868897]	[3267020, 14774369]	[2141272, 14615999]	[2077397, 14605406]	[1502852, 13916383]	[109845, 13819298]	[3779540, 13774036]	[7511513, 13550656]	[2983425, 13236624]	[1663834, 12933853]	[2508986, 12861081]	[1457462, 12594674]	[2356902, 11704087]	[903996, 11326783]	[1557874, 11199261]	[2803893, 9960137]	[722092, 9839934]	[1685704, 8262369]	[1784163, 8178468]	[945157, 7379297]	[889455, 6166334]	[0, 0]
LDAL_PM_H_1	[2372477, 17040296]	[5458508, 16607008]	[4367347, 16362069]	[3592844, 16090551]	[2250258, 16000791]	[2961050, 15952094]	[2100908, 15715213]	[4061624, 15572524]	[2252797, 15426761]	[1858129, 15296561]	[2680538, 14945938]	[2946115, 14868897]	[2520640, 14774369]	[2200882, 14615999]	[1922035, 14605406]	[1493695, 13916383]	[19714, 13819298]	[20284281, 13774036]	[2247600, 13550656]	[3825592, 13236624]	[1248511, 12933853]	[1934590, 12861081]	[1375582, 12594674]	[724690, 11704087]	[935928, 11326783]	[1505826, 11199261]	[1338366, 9960137]	[715567, 9839934]	[6364653, 8262369]	[1228957, 8178468]	[714564, 7379297]	[733417, 6166334]	[0, 0]
LDAL_PM_H_18	[2654991, 17040296]	[7892718, 16607008]	[5356915, 16362069]	[3140744, 16090551]	[2492998, 16000791]	[3546785, 15952094]	[2588626, 15715213]	[4273263, 15572524]	[2487470, 15426761]	[2100288, 15296561]	[2563072, 14945938]	[3652251, 14868897]	[3607494, 14774369]	[2616035, 14615999]	[2327539, 14605406]	[1672966, 13916383]	[24021, 13819298]	[17177635, 13774036]	[2697930, 13550656]	[3393565, 13236624]	[1479268, 12933853]	[2219793, 12861081]	[1530217, 12594674]	[861153, 11704087]	[1088848, 11326783]	[1762679, 11199261]	[1615212, 9960137]	[796353, 9839934]	[6582226, 8262369]	[1582845, 8178468]	[834385, 7379297]	[863103, 6166334]	[0, 0]
LDAL_PM_H_3	[2567167, 17040296]	[6291746, 16607008]	[4442966, 16362069]	[2779874, 16090551]	[2287717, 16000791]	[2704039, 15952094]	[2531508, 15715213]	[4043477, 15572524]	[2373823, 15426761]	[1917207, 15296561]	[2032090, 14945938]	[3219387, 14868897]	[3115360, 14774369]	[2174750, 14615999]	[2117167, 14605406]	[1506032, 13916383]	[27016, 13819298]	[9842311, 13774036]	[2402561, 13550656]	[2809509, 13236624]	[1373689, 12933853]	[2045229, 12861081]	[1415559, 12594674]	[755538, 11704087]	[990416, 11326783]	[1543321, 11199261]	[1244850, 9960137]	[792676, 9839934]	[3250369, 8262369]	[1111661, 8178468]	[683364, 7379297]	[631094, 6166334]	[0, 0]
LDAL_PM_H_4	[2346117, 17040296]	[5831284, 16607008]	[4071839, 16362069]	[2044394, 16090551]	[1876424, 16000791]	[2562461, 15952094]	[2197161, 15715213]	[3224430, 15572524]	[1976999, 15426761]	[1665757, 15296561]	[1732937, 14945938]	[2785907, 14868897]	[3147500, 14774369]	[1976279, 14615999]	[1978624, 14605406]	[1293331, 13916383]	[22234, 13819298]	[5859993, 13774036]	[2020487, 13550656]	[2599684, 13236624]	[1169528, 12933853]	[1669958, 12861081]	[1323753, 12594674]	[663079, 11704087]	[844418, 11326783]	[1312997, 11199261]	[1084006, 9960137]	[670574, 9839934]	[2117555, 8262369]	[966557, 8178468]	[587248, 7379297]	[551662, 6166334]	[0, 0]
LDAL_V_A_1	[3051832, 17040296]	[3975388, 16607008]	[2679587, 16362069]	[3854066, 16090551]	[3573154, 16000791]	[1348735, 15952094]	[3100710, 15715213]	[2128302, 15572524]	[1539819, 15426761]	[1814379, 15296561]	[1763604, 14945938]	[1921107, 14868897]	[3906878, 14774369]	[1736363, 14615999]	[1364205, 14605406]	[1074387, 13916383]	[5067, 13819298]	[1503151, 13774036]	[11515873, 13550656]	[3347029, 13236624]	[630908, 12933853]	[1212188, 12861081]	[1100981, 12594674]	[2113736, 11704087]	[767680, 11326783]	[996883, 11199261]	[1090706, 9960137]	[428904, 9839934]	[530848, 8262369]	[855384, 8178468]	[527525, 7379297]	[561885, 6166334]	[0, 0]
LDAL_V_A_18	[1447566, 17040296]	[3403853, 16607008]	[2319194, 16362069]	[5931393, 16090551]	[2181272, 16000791]	[1913866, 15952094]	[1503989, 15715213]	[2254893, 15572524]	[1671156, 15426761]	[1259078, 15296561]	[1544269, 14945938]	[2314488, 14868897]	[2253085, 14774369]	[1953713, 14615999]	[1474966, 14605406]	[1047493, 13916383]	[12995, 13819298]	[1357334, 13774036]	[12225718, 13550656]	[3071281, 13236624]	[726712, 12933853]	[2002478, 12861081]	[914291, 12594674]	[853587, 11704087]	[603301, 11326783]	[1271985, 11199261]	[1388088, 9960137]	[378955, 9839934]	[699478, 8262369]	[939277, 8178468]	[542657, 7379297]	[516887, 6166334]	[0, 0]
LDAL_V_A_3	[1741343, 17040296]	[3297758, 16607008]	[1575822, 16362069]	[6074259, 16090551]	[2274599, 16000791]	[995716, 15952094]	[3064004, 15715213]	[1221363, 15572524]	[1107780, 15426761]	[1183709, 15296561]	[1131255, 14945938]	[1571067, 14868897]	[2638678, 14774369]	[1268082, 14615999]	[1136149, 14605406]	[754174, 13916383]	[8835, 13819298]	[900556, 13774036]	[22321215, 13550656]	[2713385, 13236624]	[483511, 12933853]	[1673150, 12861081]	[892467, 12594674]	[1456906, 11704087]	[518212, 11326783]	[790153, 11199261]	[950628, 9960137]	[278952, 9839934]	[438265, 8262369]	[664192, 8178468]	[329060, 7379297]	[338354, 6166334]	[0, 0]
LDAL_V_A_4	[2183852, 17040296]	[2695469, 16607008]	[1857364, 16362069]	[6914379, 16090551]	[1951335, 16000791]	[971371, 15952094]	[2841444, 15715213]	[1314070, 15572524]	[1249983, 15426761]	[1147053, 15296561]	[1269321, 14945938]	[1334649, 14868897]	[2225189, 14774369]	[1162175, 14615999]	[1047972, 14605406]	[697911, 13916383]	[4255, 13819298]	[1063007, 13774036]	[26523006, 13550656]	[2204988, 13236624]	[424896, 12933853]	[1210490, 12861081]	[969196, 12594674]	[1244874, 11704087]	[458103, 11326783]	[734060, 11199261]	[792096, 9960137]	[276773, 9839934]	[387256, 8262369]	[545488, 8178468]	[377495, 7379297]	[271105, 6166334]	[0, 0]
LDAL_V_H_1	[2913301, 17040296]	[3494113, 16607008]	[1913753, 16362069]	[1917781, 16090551]	[3113259, 16000791]	[1156002, 15952094]	[2968256, 15715213]	[2014541, 15572524]	[1223904, 15426761]	[1804238, 15296561]	[1511320, 14945938]	[2435865, 14868897]	[3910148, 14774369]	[1564506, 14615999]	[1419665, 14605406]	[1190615, 13916383]	[10035, 13819298]	[3334516, 13774036]	[3963608, 13550656]	[2262383, 13236624]	[504066, 12933853]	[1011191, 12861081]	[904696, 12594674]	[2136050, 11704087]	[840406, 11326783]	[896918, 11199261]	[1022740, 9960137]	[400734, 9839934]	[1206048, 8262369]	[980705, 8178468]	[530284, 7379297]	[345084, 6166334]	[0, 0]
LDAL_V_H_18	[2043414, 17040296]	[4105914, 16607008]	[3596568, 16362069]	[3277110, 16090551]	[2522068, 16000791]	[2136244, 15952094]	[2381177, 15715213]	[3176684, 15572524]	[1885918, 15426761]	[1671800, 15296561]	[1596832, 14945938]	[2584350, 14868897]	[2353179, 14774369]	[3036631, 14615999]	[1746053, 14605406]	[1513962, 13916383]	[18109, 13819298]	[2180003, 13774036]	[4537829, 13550656]	[2935939, 13236624]	[961647, 12933853]	[1824707, 12861081]	[1184421, 12594674]	[715832, 11704087]	[789030, 11326783]	[1475222, 11199261]	[974316, 9960137]	[581538, 9839934]	[936580, 8262369]	[1138895, 8178468]	[713135, 7379297]	[671140, 6166334]	[0, 0]
LDAL_V_H_3	[1882600, 17040296]	[3092764, 16607008]	[2240122, 16362069]	[4255306, 16090551]	[2392228, 16000791]	[1303342, 15952094]	[2788410, 15715213]	[1879738, 15572524]	[1309340, 15426761]	[1253634, 15296561]	[1211748, 14945938]	[1904195, 14868897]	[2589004, 14774369]	[1548368, 14615999]	[1347061, 14605406]	[979322, 13916383]	[14444, 13819298]	[1527814, 13774036]	[11430811, 13550656]	[2239767, 13236624]	[563969, 12933853]	[1426783, 12861081]	[1036616, 12594674]	[1112650, 11704087]	[653239, 11326783]	[923859, 11199261]	[828477, 9960137]	[377377, 9839934]	[646585, 8262369]	[879214, 8178468]	[447934, 7379297]	[429106, 6166334]	[0, 0]
LDAL_V_H_4	[2871736, 17040296]	[4057720, 16607008]	[2309577, 16362069]	[2602831, 16090551]	[3206799, 16000791]	[1490091, 15952094]	[2444577, 15715213]	[2291776, 15572524]	[1578891, 15426761]	[1835850, 15296561]	[1575791, 14945938]	[2424979, 14868897]	[3271497, 14774369]	[1700466, 14615999]	[1599672, 14605406]	[1424010, 13916383]	[18032, 13819298]	[2852916, 13774036]	[4713654, 13550656]	[2628358, 13236624]	[623157, 12933853]	[1330004, 12861081]	[1344790, 12594674]	[1516116, 11704087]	[940657, 11326783]	[1072082, 11199261]	[1078891, 9960137]	[453921, 9839934]	[1334151, 8262369]	[1162943, 8178468]	[540650, 7379297]	[450690, 6166334]	[0, 0]
