"Category"	"Top over-represented sequence"	"Sum of remaining over-represented sequences"
"X1 HDLI PM A_S141_L002_R1_001_BHCYNTDSX2"	0	0
"X1 HDLI PM A_S141_L002_R2_001_BHCYNTDSX2"	0.42583385366255116	1.221645934007346
"X3 HDLI PM H_S142_L002_R1_001_BHCYNTDSX2"	0.18985881752859743	0.36929496470337164
"X3 HDLI PM H_S142_L002_R2_001_BHCYNTDSX2"	0.1461093682174334	0
"X3 HDLI PM A_S143_L002_R1_001_BHCYNTDSX2"	0.11176224913864445	0
"X3 HDLI PM A_S143_L002_R2_001_BHCYNTDSX2"	0.44553349987708707	1.5256353824392868
"X4 HDLI PM H_S144_L002_R1_001_BHCYNTDSX2"	0	0
"X4 HDLI PM H_S144_L002_R2_001_BHCYNTDSX2"	0.7023171453381595	0
"X4 HDLI PM A_S145_L002_R1_001_BHCYNTDSX2"	0	0
"X4 HDLI PM A_S145_L002_R2_001_BHCYNTDSX2"	0.6027882181138634	1.0798990621428537
"X18 HDLI PM H_S24_L001_R1_001_BHCYNTDSX2"	0.11600637334273596	0.10325693226212689
"X18 HDLI PM H_S24_L001_R2_001_BHCYNTDSX2"	0.7485135807440727	0
"X18 HDLI PM A_S25_L001_R1_001_BHCYNTDSX2"	0.12990306718373026	0
"X18 HDLI PM A_S25_L001_R2_001_BHCYNTDSX2"	0.5298619655352605	0.396112315504654
"X1 HDLI PF A_S26_L001_R1_001_BHCYNTDSX2"	0.10879223636156234	0
"X1 HDLI PF A_S26_L001_R2_001_BHCYNTDSX2"	1.0365491196904577	0.12046629560518385
"X3 HDLI PF H_S27_L001_R1_001_BHCYNTDSX2"	0.13735825984043765	0.11840371938804961
"X3 HDLI PF H_S27_L001_R2_001_BHCYNTDSX2"	0.42765654900236244	0.1008458520430236
"X3 HDLI PF A_S28_L001_R1_001_BHCYNTDSX2"	0	0
"X3 HDLI PF A_S28_L001_R2_001_BHCYNTDSX2"	0.8920943792361106	0.28197749680483464
"X4 HDLI PF H_S29_L001_R1_001_BHCYNTDSX2"	0.12193352777957336	0
"X4 HDLI PF H_S29_L001_R2_001_BHCYNTDSX2"	0.627786145482728	0
"X4 HDLI PF A_S30_L001_R1_001_BHCYNTDSX2"	0	0
"X4 HDLI PF A_S30_L001_R2_001_BHCYNTDSX2"	0.2418673945630042	0.23920343817680761
"X18 HDLI PF H_S31_L001_R1_001_BHCYNTDSX2"	0	0
"X18 HDLI PF H_S31_L001_R2_001_BHCYNTDSX2"	0.3610634266496288	0
"X18 HDLI PF A_S32_L001_R1_001_BHCYNTDSX2"	0	0
"X18 HDLI PF A_S32_L001_R2_001_BHCYNTDSX2"	0.8560442008430464	0
"X1 LDAL PM H_S33_L001_R1_001_BHCYNTDSX2"	0.20542879215704493	0.6661910839233919
"X1 LDAL PM H_S33_L001_R2_001_BHCYNTDSX2"	0.33541175637512866	0
"X1 LDAL PM A_S34_L001_R1_001_BHCYNTDSX2"	0	0
"X1 LDAL PM A_S34_L001_R2_001_BHCYNTDSX2"	0.31518147103100586	0.13140511828573376
"X3 LDAL PM H_S35_L001_R1_001_BHCYNTDSX2"	0.14620566768864604	0
"X3 LDAL PM H_S35_L001_R2_001_BHCYNTDSX2"	0.22344851181812153	0
"X3 LDAL PM A_S36_L001_R1_001_BHCYNTDSX2"	0	0
"X3 LDAL PM A_S36_L001_R2_001_BHCYNTDSX2"	0.4855758250599139	0.10279624541695187
"X4 LDAL PM H_S37_L001_R1_001_BHCYNTDSX2"	0.11346285757427314	0
"X4 LDAL PM H_S37_L001_R2_001_BHCYNTDSX2"	0.6302220903236786	0
"X18 LDAL PM H_S39_L001_R1_001_BHCYNTDSX2"	0.2008825067319359	0.30283415488536203
"X18 LDAL PM H_S39_L001_R2_001_BHCYNTDSX2"	0.38793895330326134	0
"X18 LDAL PM A_S40_L001_R1_001_BHCYNTDSX2"	0	0
"X18 LDAL PM A_S40_L001_R2_001_BHCYNTDSX2"	0.6115234852944411	0
"X1 LDAL PF H_S41_L001_R1_001_BHCYNTDSX2"	0.28270731211381306	0.6105471356000276
"X1 LDAL PF H_S41_L001_R2_001_BHCYNTDSX2"	0.5702059887645547	0.10772483073732819
"X1 LDAL PF A_S42_L001_R1_001_BHCYNTDSX2"	0	0
"X1 LDAL PF A_S42_L001_R2_001_BHCYNTDSX2"	0.2808640272888541	0
"X3 LDAL PF H_S43_L001_R1_001_BHCYNTDSX2"	0.12901870789705233	0
"X3 LDAL PF H_S43_L001_R2_001_BHCYNTDSX2"	0.17132665497049163	0
"X3 LDAL PF A_S44_L001_R1_001_BHCYNTDSX2"	0.15474790761377324	0.364633750218319
"X3 LDAL PF A_S44_L001_R2_001_BHCYNTDSX2"	0.3819790648797835	3.40924240821789
"X4 LDAL PF H_S45_L001_R1_001_BHCYNTDSX2"	0.14659158564801392	0.10786527278395044
"X4 LDAL PF H_S45_L001_R2_001_BHCYNTDSX2"	0.410203257252346	0
"X4 LDAL PF A_S46_L001_R1_001_BHCYNTDSX2"	0	0
"X4 LDAL PF A_S46_L001_R2_001_BHCYNTDSX2"	0.21640570057145325	0
"X18 LDAL PF H_S47_L001_R1_001_BHCYNTDSX2"	0.18579475713127155	0
"X18 LDAL PF H_S47_L001_R2_001_BHCYNTDSX2"	0.31864670420523566	0.9540221570907326
"X18 LDAL PF A_S48_L001_R1_001_BHCYNTDSX2"	0	0
"X18 LDAL PF A_S48_L001_R2_001_BHCYNTDSX2"	0.2663939359381921	0
"X1 HDAL ADM H_S49_L001_R1_001_BHCYNTDSX2"	0.1202181442940042	0.20946158258430803
"X1 HDAL ADM H_S49_L001_R2_001_BHCYNTDSX2"	0.8558503531154615	4.57972889124661
"X1 HDAL ADM A_S50_L001_R1_001_BHCYNTDSX2"	0.16691207933751162	0.2831238226824574
"X1 HDAL ADM A_S50_L001_R2_001_BHCYNTDSX2"	0.16246471873973195	0.11147738767990978
"X18 HDAL ADM H_S51_L001_R1_001_BHCYNTDSX2"	0.10640397210242958	0.10414285233368373
"X18 HDAL ADM H_S51_L001_R2_001_BHCYNTDSX2"	0.6774529017238947	0.6478805265535682
"X18 HDAL ADM A_S52_L001_R1_001_BHCYNTDSX2"	0.16479634556301184	0.937407354807332
"X18 HDAL ADM A_S52_L001_R2_001_BHCYNTDSX2"	0.3702981159812978	2.011482583062018
"X1 HDAL ADF H_S53_L001_R1_001_BHCYNTDSX2"	0	0
"X1 HDAL ADF H_S53_L001_R2_001_BHCYNTDSX2"	0.12901186576612178	0
"X1 HDAL ADF A_S54_L001_R1_001_BHCYNTDSX2"	0.2418092133966467	0.45566239274388987
"X1 HDAL ADF A_S54_L001_R2_001_BHCYNTDSX2"	0.49772666392660975	2.58872917645479
"X3 HDAL ADF H_S55_L001_R1_001_BHCYNTDSX2"	0.16091932634245365	0.1357863446195809
"X3 HDAL ADF H_S55_L001_R2_001_BHCYNTDSX2"	0.4806729870160942	3.3740050932922836
"X3 HDAL ADF A_S56_L001_R1_001_BHCYNTDSX2"	0	0
"X3 HDAL ADF A_S56_L001_R2_001_BHCYNTDSX2"	0.5516723598357124	0
"X18 HDAL ADF H_S57_L001_R1_001_BHCYNTDSX2"	0.18114264589727969	0.36528588247852467
"X18 HDAL ADF H_S57_L001_R2_001_BHCYNTDSX2"	0.6995088814863641	4.4676829831828915
"X18 HDAL ADF A_S58_L001_R1_001_BHCYNTDSX2"	0	0
"X18 HDAL ADF A_S58_L001_R2_001_BHCYNTDSX2"	0.16769993152729085	0.3670413235026701
"X1 LDAL ADM H_S59_L001_R1_001_BHCYNTDSX2"	0.11894681089937786	0
"X1 LDAL ADM H_S59_L001_R2_001_BHCYNTDSX2"	0.3481781847507509	0.5228236147633647
"X1 LDAL ADM A_S60_L001_R1_001_BHCYNTDSX2"	0.29999466380143563	5.077521323730316
"X1 LDAL ADM A_S60_L001_R2_001_BHCYNTDSX2"	0.5872346093802346	8.892794968406095
